,year,title,genre,avg_vote,movie_rating,duration
0,2005,The Naked Monster,"Comedy, Horror, Sci-Fi",5.6,okay,100
1,2005,What Is It?,Drama,5.6,okay,72
2,2007,The Junior Defenders,Comedy,4.3,okay,83
3,2008,Quality Time,"Comedy, Drama, Sci-Fi",3.8,okay,82
4,2005,Fantastic Four,"Action, Adventure, Fantasy",5.7,okay,106
5,2005,Corpse Bride,"Animation, Drama, Family",7.3,good,77
6,2005,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",7.5,good,140
7,2005,Shooting Vegetarians,"Comedy, Drama",4.8,okay,76
8,2010,Pál Adrienn,Drama,6.7,good,136
9,2009,Rózsaszín sajt,"Comedy, Drama",6.1,good,93
10,2005,The Prodigy,"Crime, Drama, Thriller",5.5,okay,120
11,2010,A zöld sárkány gyermekei,Drama,6.8,good,89
12,2008,Geliebte Clara,"Biography, Drama, Music",5.8,okay,107
13,2005,Angels with Angles,Comedy,4.8,okay,87
14,2007,I Viceré,"Drama, History",6.3,good,120
15,2006,Live Freaky Die Freaky,"Animation, Comedy, Musical",5.0,okay,75
16,2008,The Bank Job,"Crime, Thriller",7.2,good,111
17,2006,Death of a Saleswoman,"Comedy, Mystery",1.5,bad,77
18,2005,Firecracker,"Crime, Drama, Mystery",5.4,okay,112
19,2009,Sanam Teri Kasam,"Action, Drama, Romance",5.1,okay,170
20,2006,Children of Men,"Drama, Thriller",7.9,good,109
21,2007,Awake,"Crime, Drama, Mystery",6.5,good,84
22,2008,Berlin Calling,"Comedy, Drama, Music",7.3,good,100
23,2007,Partition,"Drama, Romance",6.9,good,116
24,2005,Bob the Butler,"Comedy, Family",5.5,okay,90
25,2005,Bad Girls from Valley High,Comedy,3.5,okay,84
26,2005,Ripley Under Ground,"Crime, Drama, Thriller",6.1,good,101
27,2005,Lucky 13,"Comedy, Romance",4.6,okay,95
28,2005,Cl.One,"Sci-Fi, Thriller",3.3,okay,112
29,2007,Tortilla Heaven,Comedy,5.3,okay,98
30,2005,Fortunes,Comedy,4.3,okay,91
31,2005,Water,Drama,7.7,good,117
32,2007,Terra Sonâmbula,Drama,6.9,good,97
33,2005,Mee-Shee: The Water Giant,"Adventure, Family, Fantasy",5.3,okay,95
34,2007,Hitler Meets Christ,"Drama, Fantasy",4.1,okay,76
35,2006,Funny Money,Comedy,5.3,okay,98
36,2005,In Memory of My Father,"Comedy, Drama",6.0,good,96
37,2006,Pretty Cool,"Comedy, Sci-Fi",4.2,okay,92
38,2005,Cursed,"Comedy, Horror",5.0,okay,97
39,2007,Ghost Rider,"Action, Fantasy, Thriller",5.2,okay,114
40,2006,.45,"Crime, Drama, Thriller",5.6,okay,101
41,2005,Imposture,Thriller,6.4,good,101
42,2005,2001 Maniacs,"Comedy, Horror",5.3,okay,87
43,2006,Love Is the Drug,Drama,5.5,okay,96
44,2005,Thru the Moebius Strip,"Animation, Adventure, Sci-",5.1,okay,87
45,2005,The Ringer,"Comedy, Sport",5.8,okay,94
46,2006,How to Go Out on a Date in Queens,"Comedy, Romance",4.3,okay,90
47,2005,From Venus,"Horror, Sci-Fi",4.5,okay,88
48,2007,The Bros.,"Comedy, Music",3.3,okay,91
49,2005,Heaven's Neighbors,Drama,7.1,good,115
50,2006,Beyond the Wall of Sleep,Horror,2.8,bad,84
51,2007,Brooklyn Rules,"Crime, Drama",6.3,good,99
52,2006,Obsluhoval jsem anglického krále,"Comedy, Drama, Romance",7.4,good,113
53,2005,Havoc,"Crime, Drama",5.5,okay,85
54,2005,Alchemy,"Comedy, Romance",5.4,okay,86
55,2006,Under Surveillance,"Horror, Mystery, Thriller",4.2,okay,89
56,2007,Universal Groove,"Drama, Fantasy",6.2,good,74
57,2005,Iluminados por el fuego,"Adventure, Drama, War",6.8,good,100
58,2009,T.M.A.,"Horror, Mystery, Thriller",4.6,okay,100
59,2005,Man-Thing,"Action, Adventure, Horror",4.0,okay,97
60,2007,Before the Devil Knows You're Dead,"Crime, Drama, Thriller",7.3,good,117
61,2007,Rush Hour 3,"Action, Comedy, Crime",6.2,good,91
62,2005,The Keeper: The Legend of Omar Khayyam,"Adventure, Drama, Family",6.4,good,95
63,2005,Rent,"Drama, Musical, Romance",6.9,good,135
64,2005,The Sea Wolf,"Action, Adventure, Romance",3.6,okay,94
65,2005,Going Shopping,"Drama, Romance",4.7,okay,106
66,2006,Slipp Jimmy fri,"Animation, Comedy",6.0,good,86
67,2005,The Civilization of Maxwell Bright,Drama,6.5,good,107
68,2005,All Babes Want to Kill Me,"Comedy, Romance",4.0,okay,82
69,2005,Black Wine,Thriller,4.3,okay,88
70,2005,Dark Assassin,"Action, Thriller",3.3,okay,82
71,2006,Raising Flagg,Comedy,5.4,okay,103
72,2005,Love Thy Neighbor,"Comedy, Drama, Mystery",3.6,okay,89
73,2005,Funny Valentine,"Comedy, Romance",4.4,okay,90
74,2007,Along the Way,Drama,6.1,good,111
75,2006,Bobby,"Biography, Drama, History",7.0,good,117
76,2005,Les Boys IV,"Comedy, Sport",4.9,okay,121
77,2006,Happily N'Ever After,"Animation, Adventure, Come",4.5,okay,75
78,2005,Extreme Dating,"Action, Romance, Comedy",5.2,okay,96
79,2005,Tracks,"Drama, Crime",5.0,okay,92
80,2005,The Curse of the Were-Rabbit,"Animation, Adventure, Come",7.4,good,85
81,2010,Quantum Quest: A Cassini Space Odyssey,"Animation, Adventure, Sci-",4.9,okay,45
82,2006,Humko Tumse Pyaar Hai,"Drama, Romance",4.8,okay,128
83,2007,Romantik,"Drama, Romance",4.4,okay,100
84,2007,Die Unerzogenen,Drama,6.3,good,95
85,2005,Break a Leg,"Comedy, Drama, Thriller",5.1,okay,98
86,2005,Constellation,Drama,3.8,okay,96
87,2005,Because of Winn-Dixie,"Comedy, Drama, Family",6.3,good,106
88,2006,Cars,"Animation, Comedy, Family",7.1,good,117
89,2006,Mission: Impossible III,"Action, Adventure, Thrille",6.9,good,126
90,2005,A Sound of Thunder,"Action, Adventure, Horror",4.2,okay,101
91,2005,Sahara,"Action, Adventure, Comedy",6.0,good,124
92,2005,Thumbsucker,"Comedy, Drama",6.6,good,96
93,2005,El viento,"Drama, Romance",6.8,good,92
94,2008,Brothel,"Drama, Horror",4.1,okay,96
95,2005,Kingdom of Heaven,"Action, Adventure, Drama",7.2,good,144
96,2005,Blodsbröder,"Crime, Drama",2.8,bad,90
97,2006,30 Days,"Drama, Sport",3.8,okay,93
98,2005,Ze film,Comedy,5.4,okay,105
99,2006,Loving Annabelle,"Drama, Romance",6.3,good,77
100,2005,Los suicidas,Mystery,5.5,okay,80
101,2006,"Arrivederci amore, ciao","Crime, Drama, Thriller",6.9,good,107
102,2005,Sabah,"Comedy, Drama, Romance",6.8,good,86
103,2005,"Jesus, Mary and Joey","Comedy, Romance",4.8,okay,105
104,2005,Her Name Is Carla,"Drama, Thriller",5.0,okay,85
105,2005,The Great Raid,"Action, Drama, War",6.7,good,132
106,2010,In My Sleep,"Drama, Mystery, Thriller",5.5,okay,104
107,2006,Over the Hedge,"Animation, Adventure, Come",6.7,good,83
108,2005,The Bike Squad,"Comedy, Family",3.1,okay,79
109,2009,Coraline,"Animation, Drama, Fantasy",7.7,good,100
