,date,city,price
0,1987-01-01,AZ-Phoenix,
1,1987-01-01,CA-Los Angeles,59.33
2,1987-01-01,CA-San Diego,54.67
3,1987-01-01,CA-San Francisco,46.61
4,1987-01-01,CO-Denver,50.2
5,1987-01-01,DC-Washington,64.11
6,1987-01-01,FL-Miami,68.5
7,1987-01-01,FL-Tampa,77.33
8,1987-01-01,GA-Atlanta,
9,1987-01-01,IL-Chicago,53.55
10,1987-01-01,MA-Boston,70.04
11,1987-01-01,MI-Detroit,
12,1987-01-01,MN-Minneapolis,
13,1987-01-01,NC-Charlotte,63.39
14,1987-01-01,NV-Las Vegas,66.36
15,1987-01-01,NY-New York,74.42
16,1987-01-01,OH-Cleveland,53.53
17,1987-01-01,OR-Portland,41.05
18,1987-01-01,TX-Dallas,
19,1987-01-01,WA-Seattle,
20,1987-01-01,Composite-10,62.82
21,1987-01-01,Composite-20,
22,1987-01-01,National-US,63.75
23,1987-02-01,AZ-Phoenix,
24,1987-02-01,CA-Los Angeles,59.65
25,1987-02-01,CA-San Diego,54.89
26,1987-02-01,CA-San Francisco,46.87
27,1987-02-01,CO-Denver,49.96
28,1987-02-01,DC-Washington,64.77
29,1987-02-01,FL-Miami,68.76
30,1987-02-01,FL-Tampa,77.93
31,1987-02-01,GA-Atlanta,
32,1987-02-01,IL-Chicago,54.64
33,1987-02-01,MA-Boston,70.08
34,1987-02-01,MI-Detroit,
35,1987-02-01,MN-Minneapolis,
36,1987-02-01,NC-Charlotte,63.94
37,1987-02-01,NV-Las Vegas,67.03
38,1987-02-01,NY-New York,75.43
39,1987-02-01,OH-Cleveland,53.5
40,1987-02-01,OR-Portland,41.28
41,1987-02-01,TX-Dallas,
42,1987-02-01,WA-Seattle,
43,1987-02-01,Composite-10,63.39
44,1987-02-01,Composite-20,
45,1987-02-01,National-US,64.15
46,1987-03-01,AZ-Phoenix,
47,1987-03-01,CA-Los Angeles,59.99
48,1987-03-01,CA-San Diego,55.16
49,1987-03-01,CA-San Francisco,47.32
50,1987-03-01,CO-Denver,50.15
51,1987-03-01,DC-Washington,65.71
52,1987-03-01,FL-Miami,69.23
53,1987-03-01,FL-Tampa,77.76
54,1987-03-01,GA-Atlanta,
55,1987-03-01,IL-Chicago,54.8
56,1987-03-01,MA-Boston,70.0
57,1987-03-01,MI-Detroit,
58,1987-03-01,MN-Minneapolis,
59,1987-03-01,NC-Charlotte,64.17
60,1987-03-01,NV-Las Vegas,67.34
61,1987-03-01,NY-New York,76.25
62,1987-03-01,OH-Cleveland,53.68
63,1987-03-01,OR-Portland,41.06
64,1987-03-01,TX-Dallas,
65,1987-03-01,WA-Seattle,
66,1987-03-01,Composite-10,63.87
67,1987-03-01,Composite-20,
68,1987-03-01,National-US,64.49
69,1987-04-01,AZ-Phoenix,
70,1987-04-01,CA-Los Angeles,60.81
71,1987-04-01,CA-San Diego,55.85
72,1987-04-01,CA-San Francisco,47.69
73,1987-04-01,CO-Denver,50.55
74,1987-04-01,DC-Washington,66.4
75,1987-04-01,FL-Miami,69.2
76,1987-04-01,FL-Tampa,77.56
77,1987-04-01,GA-Atlanta,
78,1987-04-01,IL-Chicago,54.88
79,1987-04-01,MA-Boston,70.7
80,1987-04-01,MI-Detroit,
81,1987-04-01,MN-Minneapolis,
82,1987-04-01,NC-Charlotte,64.81
83,1987-04-01,NV-Las Vegas,67.88
84,1987-04-01,NY-New York,77.34
85,1987-04-01,OH-Cleveland,53.75
86,1987-04-01,OR-Portland,40.96
87,1987-04-01,TX-Dallas,
88,1987-04-01,WA-Seattle,
89,1987-04-01,Composite-10,64.57
90,1987-04-01,Composite-20,
91,1987-04-01,National-US,64.99
92,1987-05-01,AZ-Phoenix,
93,1987-05-01,CA-Los Angeles,61.67
94,1987-05-01,CA-San Diego,56.35
95,1987-05-01,CA-San Francisco,48.31
96,1987-05-01,CO-Denver,50.63
97,1987-05-01,DC-Washington,67.27
98,1987-05-01,FL-Miami,69.46
99,1987-05-01,FL-Tampa,77.85
100,1987-05-01,GA-Atlanta,
101,1987-05-01,IL-Chicago,55.43
102,1987-05-01,MA-Boston,71.51
103,1987-05-01,MI-Detroit,
104,1987-05-01,MN-Minneapolis,
105,1987-05-01,NC-Charlotte,65.18
106,1987-05-01,NV-Las Vegas,67.9
107,1987-05-01,NY-New York,79.16
108,1987-05-01,OH-Cleveland,54.71
109,1987-05-01,OR-Portland,41.24
110,1987-05-01,TX-Dallas,
111,1987-05-01,WA-Seattle,
112,1987-05-01,Composite-10,65.56
113,1987-05-01,Composite-20,
114,1987-05-01,National-US,65.57
115,1987-06-01,AZ-Phoenix,
116,1987-06-01,CA-Los Angeles,62.71
117,1987-06-01,CA-San Diego,56.86
118,1987-06-01,CA-San Francisco,48.83
119,1987-06-01,CO-Denver,50.5
120,1987-06-01,DC-Washington,68.7
121,1987-06-01,FL-Miami,69.31
122,1987-06-01,FL-Tampa,78.71
123,1987-06-01,GA-Atlanta,
124,1987-06-01,IL-Chicago,56.39
125,1987-06-01,MA-Boston,72.32
126,1987-06-01,MI-Detroit,
127,1987-06-01,MN-Minneapolis,
128,1987-06-01,NC-Charlotte,65.55
129,1987-06-01,NV-Las Vegas,66.48
130,1987-06-01,NY-New York,80.84
131,1987-06-01,OH-Cleveland,55.12
132,1987-06-01,OR-Portland,41.45
133,1987-06-01,TX-Dallas,
134,1987-06-01,WA-Seattle,
135,1987-06-01,Composite-10,66.59
136,1987-06-01,Composite-20,
137,1987-06-01,National-US,66.24
138,1987-07-01,AZ-Phoenix,
139,1987-07-01,CA-Los Angeles,63.66
140,1987-07-01,CA-San Diego,57.26
141,1987-07-01,CA-San Francisco,49.49
142,1987-07-01,CO-Denver,50.28
143,1987-07-01,DC-Washington,69.79
144,1987-07-01,FL-Miami,69.7
145,1987-07-01,FL-Tampa,79.11
146,1987-07-01,GA-Atlanta,
147,1987-07-01,IL-Chicago,57.54
148,1987-07-01,MA-Boston,73.09
149,1987-07-01,MI-Detroit,
150,1987-07-01,MN-Minneapolis,
151,1987-07-01,NC-Charlotte,65.76
152,1987-07-01,NV-Las Vegas,65.43
153,1987-07-01,NY-New York,82.22
154,1987-07-01,OH-Cleveland,55.74
155,1987-07-01,OR-Portland,41.82
156,1987-07-01,TX-Dallas,
157,1987-07-01,WA-Seattle,
158,1987-07-01,Composite-10,67.54
159,1987-07-01,Composite-20,
160,1987-07-01,National-US,66.8
161,1987-08-01,AZ-Phoenix,
162,1987-08-01,CA-Los Angeles,64.56
163,1987-08-01,CA-San Diego,57.69
164,1987-08-01,CA-San Francisco,49.94
165,1987-08-01,CO-Denver,50.38
166,1987-08-01,DC-Washington,70.62
167,1987-08-01,FL-Miami,70.16
168,1987-08-01,FL-Tampa,79.14
169,1987-08-01,GA-Atlanta,
170,1987-08-01,IL-Chicago,58.37
171,1987-08-01,MA-Boston,73.79
172,1987-08-01,MI-Detroit,
173,1987-08-01,MN-Minneapolis,
174,1987-08-01,NC-Charlotte,66.08
175,1987-08-01,NV-Las Vegas,65.14
176,1987-08-01,NY-New York,83.01
177,1987-08-01,OH-Cleveland,56.1
178,1987-08-01,OR-Portland,41.9
179,1987-08-01,TX-Dallas,
180,1987-08-01,WA-Seattle,
181,1987-08-01,Composite-10,68.25
182,1987-08-01,Composite-20,
183,1987-08-01,National-US,67.29
184,1987-09-01,AZ-Phoenix,
185,1987-09-01,CA-Los Angeles,65.38
186,1987-09-01,CA-San Diego,58.14
187,1987-09-01,CA-San Francisco,50.69
188,1987-09-01,CO-Denver,50.18
189,1987-09-01,DC-Washington,71.79
190,1987-09-01,FL-Miami,70.95
191,1987-09-01,FL-Tampa,79.24
192,1987-09-01,GA-Atlanta,
193,1987-09-01,IL-Chicago,58.85
194,1987-09-01,MA-Boston,74.39
195,1987-09-01,MI-Detroit,
196,1987-09-01,MN-Minneapolis,
197,1987-09-01,NC-Charlotte,66.47
198,1987-09-01,NV-Las Vegas,65.85
199,1987-09-01,NY-New York,83.44
200,1987-09-01,OH-Cleveland,56.51
201,1987-09-01,OR-Portland,41.8
202,1987-09-01,TX-Dallas,
203,1987-09-01,WA-Seattle,
204,1987-09-01,Composite-10,68.87
205,1987-09-01,Composite-20,
206,1987-09-01,National-US,67.64
207,1987-10-01,AZ-Phoenix,
208,1987-10-01,CA-Los Angeles,66.2
209,1987-10-01,CA-San Diego,58.53
210,1987-10-01,CA-San Francisco,51.33
211,1987-10-01,CO-Denver,50.38
212,1987-10-01,DC-Washington,72.57
213,1987-10-01,FL-Miami,71.28
214,1987-10-01,FL-Tampa,79.09
215,1987-10-01,GA-Atlanta,
216,1987-10-01,IL-Chicago,59.32
217,1987-10-01,MA-Boston,74.63
218,1987-10-01,MI-Detroit,
219,1987-10-01,MN-Minneapolis,
220,1987-10-01,NC-Charlotte,66.77
221,1987-10-01,NV-Las Vegas,66.21
222,1987-10-01,NY-New York,83.88
223,1987-10-01,OH-Cleveland,56.61
224,1987-10-01,OR-Portland,41.86
225,1987-10-01,TX-Dallas,
226,1987-10-01,WA-Seattle,
227,1987-10-01,Composite-10,69.42
228,1987-10-01,Composite-20,
229,1987-10-01,National-US,67.92
230,1987-11-01,AZ-Phoenix,
231,1987-11-01,CA-Los Angeles,66.94
232,1987-11-01,CA-San Diego,59.02
233,1987-11-01,CA-San Francisco,51.8
234,1987-11-01,CO-Denver,49.89
235,1987-11-01,DC-Washington,73.18
236,1987-11-01,FL-Miami,71.5
237,1987-11-01,FL-Tampa,79.05
238,1987-11-01,GA-Atlanta,
239,1987-11-01,IL-Chicago,59.34
240,1987-11-01,MA-Boston,74.83
241,1987-11-01,MI-Detroit,
242,1987-11-01,MN-Minneapolis,
243,1987-11-01,NC-Charlotte,67.09
244,1987-11-01,NV-Las Vegas,67.05
245,1987-11-01,NY-New York,84.02
246,1987-11-01,OH-Cleveland,56.6
247,1987-11-01,OR-Portland,41.67
248,1987-11-01,TX-Dallas,
249,1987-11-01,WA-Seattle,
250,1987-11-01,Composite-10,69.76
251,1987-11-01,Composite-20,
252,1987-11-01,National-US,68.11
253,1987-12-01,AZ-Phoenix,
254,1987-12-01,CA-Los Angeles,67.91
255,1987-12-01,CA-San Diego,59.4
256,1987-12-01,CA-San Francisco,52.03
257,1987-12-01,CO-Denver,49.86
258,1987-12-01,DC-Washington,73.42
259,1987-12-01,FL-Miami,71.41
260,1987-12-01,FL-Tampa,79.15
261,1987-12-01,GA-Atlanta,
262,1987-12-01,IL-Chicago,60.3
263,1987-12-01,MA-Boston,74.74
264,1987-12-01,MI-Detroit,
265,1987-12-01,MN-Minneapolis,
266,1987-12-01,NC-Charlotte,67.19
267,1987-12-01,NV-Las Vegas,66.66
268,1987-12-01,NY-New York,84.41
269,1987-12-01,OH-Cleveland,56.38
270,1987-12-01,OR-Portland,41.88
271,1987-12-01,TX-Dallas,
272,1987-12-01,WA-Seattle,
273,1987-12-01,Composite-10,70.22
274,1987-12-01,Composite-20,
275,1987-12-01,National-US,68.36
276,1988-01-01,AZ-Phoenix,
277,1988-01-01,CA-Los Angeles,68.66
278,1988-01-01,CA-San Diego,59.86
279,1988-01-01,CA-San Francisco,52.24
280,1988-01-01,CO-Denver,49.35
281,1988-01-01,DC-Washington,74.07
282,1988-01-01,FL-Miami,71.66
283,1988-01-01,FL-Tampa,79.36
284,1988-01-01,GA-Atlanta,
285,1988-01-01,IL-Chicago,61.2
286,1988-01-01,MA-Boston,74.4
287,1988-01-01,MI-Detroit,
288,1988-01-01,MN-Minneapolis,
289,1988-01-01,NC-Charlotte,67.61
290,1988-01-01,NV-Las Vegas,66.64
291,1988-01-01,NY-New York,84.12
292,1988-01-01,OH-Cleveland,56.44
293,1988-01-01,OR-Portland,41.61
294,1988-01-01,TX-Dallas,
295,1988-01-01,WA-Seattle,
296,1988-01-01,Composite-10,70.45
297,1988-01-01,Composite-20,
298,1988-01-01,National-US,68.6
299,1988-02-01,AZ-Phoenix,
300,1988-02-01,CA-Los Angeles,69.36
301,1988-02-01,CA-San Diego,60.12
302,1988-02-01,CA-San Francisco,52.64
303,1988-02-01,CO-Denver,49.27
304,1988-02-01,DC-Washington,74.88
305,1988-02-01,FL-Miami,71.68
306,1988-02-01,FL-Tampa,79.21
307,1988-02-01,GA-Atlanta,
308,1988-02-01,IL-Chicago,62.78
309,1988-02-01,MA-Boston,74.02
310,1988-02-01,MI-Detroit,
311,1988-02-01,MN-Minneapolis,
312,1988-02-01,NC-Charlotte,67.44
313,1988-02-01,NV-Las Vegas,65.89
314,1988-02-01,NY-New York,83.92
315,1988-02-01,OH-Cleveland,56.45
316,1988-02-01,OR-Portland,41.48
317,1988-02-01,TX-Dallas,
318,1988-02-01,WA-Seattle,
319,1988-02-01,Composite-10,70.77
320,1988-02-01,Composite-20,
321,1988-02-01,National-US,68.93
322,1988-03-01,AZ-Phoenix,
323,1988-03-01,CA-Los Angeles,70.14
324,1988-03-01,CA-San Diego,60.87
325,1988-03-01,CA-San Francisco,53.19
326,1988-03-01,CO-Denver,48.85
327,1988-03-01,DC-Washington,76.04
328,1988-03-01,FL-Miami,72.19
329,1988-03-01,FL-Tampa,79.26
330,1988-03-01,GA-Atlanta,
331,1988-03-01,IL-Chicago,64.45
332,1988-03-01,MA-Boston,73.4
333,1988-03-01,MI-Detroit,
334,1988-03-01,MN-Minneapolis,
335,1988-03-01,NC-Charlotte,67.95
336,1988-03-01,NV-Las Vegas,66.26
337,1988-03-01,NY-New York,83.48
338,1988-03-01,OH-Cleveland,57.16
339,1988-03-01,OR-Portland,41.85
340,1988-03-01,TX-Dallas,
341,1988-03-01,WA-Seattle,
342,1988-03-01,Composite-10,71.12
343,1988-03-01,Composite-20,
344,1988-03-01,National-US,69.33
345,1988-04-01,AZ-Phoenix,
346,1988-04-01,CA-Los Angeles,70.83
347,1988-04-01,CA-San Diego,61.19
348,1988-04-01,CA-San Francisco,54.19
349,1988-04-01,CO-Denver,48.58
350,1988-04-01,DC-Washington,77.02
351,1988-04-01,FL-Miami,72.47
352,1988-04-01,FL-Tampa,79.44
353,1988-04-01,GA-Atlanta,
354,1988-04-01,IL-Chicago,65.22
355,1988-04-01,MA-Boston,73.78
356,1988-04-01,MI-Detroit,
357,1988-04-01,MN-Minneapolis,
358,1988-04-01,NC-Charlotte,67.79
359,1988-04-01,NV-Las Vegas,67.11
360,1988-04-01,NY-New York,83.71
361,1988-04-01,OH-Cleveland,57.66
362,1988-04-01,OR-Portland,42.1
363,1988-04-01,TX-Dallas,
364,1988-04-01,WA-Seattle,
365,1988-04-01,Composite-10,71.65
366,1988-04-01,Composite-20,
367,1988-04-01,National-US,69.8
368,1988-05-01,AZ-Phoenix,
369,1988-05-01,CA-Los Angeles,72.03
